Date,Week,Calls Offered,Handled Calls,Abandons,AHT (seconds),Service Level %
13-01-2025,3,910,720,16,308,95.00%
14-01-2025,3,710,800,5,306,93.00%
15-01-2025,3,812,802,10,293,92.00%
16-01-2025,3,892,888,4,314,98.00%
17-01-2025,3,711,698,13,309,96.00%
20-01-2025,4,1050,820,5,299,94.00%
21-01-2025,4,850,710,17,292,89.00%
22-01-2025,4,877,870,7,295,87.00%
23-01-2025,4,983,980,3,311,89.00%
24-01-2025,4,937,910,27,291,91.00%
27-01-2025,5,1510,805,23,308,85.00%
28-01-2025,5,856,855,1,313,99.00%
29-01-2025,5,873,870,3,296,93.00%
30-01-2025,5,1150,1090,60,300,85.00%
31-01-2025,5,1250,1230,20,320,90.00%
