Date,Emp__Name,Talk_Time,Hold_Time,ACW_Time,Break_Time,Meeting_Time,Training_Time,RestRoo_Time,Tech Issue_Time,Chat/Email_Time,Case Time,After Call Work_Time,Assist_Time,Ready Time,Login Hours,Productive Time,Work_Rel Time,Utilization,Occupancy %,Date2,Month2,Year2,Week2,Day2,Emp_Name2,Team_Lead,Supervisor
01-Mar,Emp1,5:25:06,0:31:06,0:22:16,0:31:06,0:31:49,0:00:00,0:00:00,0:00:00,0:00:00,0:58:00,0:01:51,0:33:11,0:00:28,8:54:53,6:20:19,2:03:28,71.10%,94.19%,01-Mar,Mar,2024,9,Fri,Emp1,TeamLead_A,Supervisor_X
01-Mar,Emp2,5:24:25,0:29:31,0:12:21,0:29:31,0:20:58,0:00:00,0:03:49,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:01:20,7:01:55,6:06:17,0:22:18,86.81%,92.10%,01-Mar,Mar,2024,9,Fri,Emp2,TeamLead_C,Supervisor_Z
01-Mar,Emp3,2:38:46,0:11:41,0:10:38,0:11:41,0:09:24,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:57,0:00:05,3:23:12,3:01:05,0:10:26,89.12%,94.25%,01-Mar,Mar,2024,9,Fri,Emp3,TeamLead_C,Supervisor_Y
01-Mar,Emp4,1:33:07,0:15:00,0:05:06,0:15:00,0:31:12,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:15,2:39:40,1:53:13,0:31:27,70.91%,90.61%,01-Mar,Mar,2024,9,Fri,Emp4,TeamLead_C,Supervisor_Z
01-Mar,Emp5,7:09:36,0:30:19,0:12:26,0:30:19,0:00:00,0:00:00,0:00:00,0:03:34,0:00:00,0:39:51,0:00:00,0:12:56,0:00:04,9:19:05,7:52:21,0:56:25,84.49%,94.58%,01-Mar,Mar,2024,9,Fri,Emp5,TeamLead_B,Supervisor_Y
01-Mar,Emp6,3:18:24,0:00:00,0:27:03,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:45:34,0:00:58,0:07:07,0:00:11,4:39:17,3:46:25,0:52:52,81.07%,100.00%,01-Mar,Mar,2024,9,Fri,Emp6,TeamLead_B,Supervisor_Y
01-Mar,Emp7,6:34:39,0:25:16,0:35:44,0:25:16,0:30:34,0:00:00,0:00:00,0:00:00,0:00:00,0:38:18,0:09:09,0:00:26,0:00:22,9:19:44,7:44:48,1:09:40,83.04%,95.49%,01-Mar,Mar,2024,9,Fri,Emp7,TeamLead_B,Supervisor_Y
01-Mar,Emp8,7:57:26,0:20:44,0:03:13,0:20:44,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:17:23,0:11:44,9:11:14,8:21:23,0:29:07,90.96%,96.24%,01-Mar,Mar,2024,9,Fri,Emp8,TeamLead_B,Supervisor_Y
01-Mar,Emp9,7:57:55,0:22:30,0:00:00,0:22:30,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:10:32,0:00:00,0:21:10,0:06:40,9:21:17,8:20:25,0:38:22,89.16%,95.99%,01-Mar,Mar,2024,9,Fri,Emp9,TeamLead_B,Supervisor_Y
01-Mar,Emp10,7:14:34,0:28:48,0:17:37,0:28:48,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:06:28,0:05:41,0:08:46,0:00:06,8:50:48,8:06:40,0:15:20,91.69%,94.57%,01-Mar,Mar,2024,9,Fri,Emp10,TeamLead_A,Supervisor_X
